продукт,розница,опт,фасовка
Вобла,2084,1854,2
Горбуша б/г ,1207,1025,2
Горбуша ПСГ ,2467,2170,3
Горбуша х/к теша,1990,1771,4
Горбуша х/к тушка,1855,1576,4
Горбуша х/к филе,3298,2935,3
Горбуша х\к спинка в\у,656,583,1
Камбала б/г б/б ,925,786,1
Камбала б/г ж/п ,2505,2229,3
Камбала вял б/г,3679,3274,3
Камбала н/р б/б ,833,733,4
Карась,872,767,1
Карп х/к пласт,1714,1456,2
Кета с/с ,1009,887,2
Кета х/к спинка,4911,4321,4
Кета х/к теша,2352,2022,2
Кефаль с/м ,3639,3129,4
Килька каспийская,370,325,2
Килька п/п ,491,422,4
Корюшка вял. н/р,1077,926,4
Корюшка с/м ,304,264,1
Корюшка х/к,990,861,1
Креветка королевская с/г,3930,3379,4
Креветки лангустины б/г ,745,663,3
Креветки лангустины с/г,4985,4237,4
Креветки тигровые б/г ,816,726,1
Лещ,366,318,1
Лещ вял. потр,5255,4466,4
Лещ с/м ,686,583,2
Лещ с/м ,670,576,1
Лещ х/к пласт,3497,3112,3
Минтай б/г,2496,2121,4
Минтай б/г,1452,1292,2
Мойва т/о,615,547,1
Мойва тушка в масле с аром. копчения,1045,898,1
Мойва тушка в масле с луком,4484,3901,4
Мойва тушка в масле с чесноком и  укропом,161,143,1
Окунь,205,178,1
Окунь б/г,3828,3368,4
Окунь вял. н/р,2755,2396,3
Плотва  вял.н/р,1926,1675,2
Плотва х/к потр,952,828,1
Путассу  х/к потр,2951,2537,3
Путассу н/р,479,411,1
Ряпушка х/к  3кг,3286,2825,3
Сазан с кожей,491,432,2
Сайра х/к,2105,1831,3
Сельдь атл. п/п,1295,1113,2
Сельдь олют с/с,3104,2731,4
Сельдь т/о п/п,3405,3030,3
Сельдь х/к т/о,984,875,2
Семга с\с брюшки,511,439,1
Скумбрия г/к потр,2133,1855,2
Скумбрия х/к б/г,1329,1182,3
Сом потрошеный,2038,1793,2
Сом с кожей,993,844,2
Судак,4350,3784,3
Толстолобик с/м,1109,987,2
Филе гигантского кальмара ,639,549,1
Филе горбуши н/ш,4240,3646,4
Филе масляной н/ш ,2557,2275,2
Филе минтая б/ш б/к,147,127,1
Филе пангасиуса б/ш ,103,87,1
Филе судака н/ш ,2748,2363,3
Филе тилапии б/ш ,2226,1914,2
Форель г/к потр,2153,1873,2
Форель с/м н/р ,4240,3688,4
Форель с/с кусок,882,767,1
Форель х/к балык (речн.),879,764,2
Форель х/к пласт (речн. крупная),150,129,1
Форель х/к теша (речн.),957,813,1
Хек тушка ,1423,1266,4
Щука  вял.кусок,322,273,1
Щука без кожи,631,561,3
Щука без кожи,1992,1772,2
Щука вял н/р,798,686,3
Щука х/к филе с насечкой,5327,4634,4
